frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,ip1,ip2,ip3,ip4,ip5,ip6,ip7,ip8,ip9,ip10,ip11,ip12,ip13,ip14,ip15,ip16,ip17,ip18,ip19,ip20,ip21,ip22,ip23,ip24,ip25,ip26,ip27,ip28,ip29,ip30,ip31,ip32,ip33,ip34
35,"Apr  9, 2019 20:56:22.154026676 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,104.73.138.159,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,"Apr  9, 2019 20:56:22.159930224 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,104.73.138.159,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,"Apr  9, 2019 20:56:22.176192051 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,103.229.10.162,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,"Apr  9, 2019 20:56:22.220088431 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,103.229.10.162,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,"Apr  9, 2019 20:56:22.343877591 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,151.101.65.69,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,"Apr  9, 2019 20:56:22.345696914 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,151.101.65.69,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,"Apr  9, 2019 20:56:22.400198193 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,111.221.29.254,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,"Apr  9, 2019 20:56:22.400224925 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,111.221.29.254,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,"Apr  9, 2019 20:56:22.401675886 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,111.221.29.254,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,"Apr  9, 2019 20:56:22.401695270 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,111.221.29.254,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,"Apr  9, 2019 20:56:22.404912384 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,111.221.29.254,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,"Apr  9, 2019 20:56:22.404937840 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,111.221.29.254,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,"Apr  9, 2019 20:56:22.405045868 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,104.73.138.159,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,"Apr  9, 2019 20:56:22.405258330 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,104.73.138.159,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,"Apr  9, 2019 20:56:22.405271072 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,104.73.138.159,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,"Apr  9, 2019 20:56:22.405461921 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,104.73.138.159,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
